"x","y","z","bhd"
53.797,9.711,0.663,28.1
-4.442,16.873,-4.348,28.1
119.025,-25.683,3.288,28.1
34.776,62.433,0.172,28
42.952,-28.404,-0.898,28
2.999,3.779,-2.087,27.9
47.256,-16.093,-0.0350000000000001,27.8
41.771,30.914,0.777,27.8
125.994,-21.634,3.909,27.8
37.771,-24.047,-1.22,27.7
101.257,-18.449,3.976,27.7
17.303,58.131,-2.012,27.7
85.782,-37.49,2.143,27.7
80.815,-34.548,2.23,27.7
105.413,-52.901,0.654,27.6
52.835,-3.96,0.764,27.6
95.396,-48.403,0.972,27.6
21.001,-6.414,-1.113,27.6
18.6,65.269,-2.361,27.5
82.988,-38.806,1.644,27.5
-3.521,52.723,-6.192,27.5
94.396,-46.187,1.182,27.4
61.983,-37.492,0.01,27.4
49.154,-16.143,0.177,27.4
45.372,25.881,0.471,27.3
90.79,-40.447,1.818,27.3
28.318,64.752,-1.051,27.2
83.629,-47.325,0.533,27.2
52.846,-14.9,0.533,27.2
35.432,48.897,1.369,27.2
55.614,-10.321,0.877,27.2
135.103,-44.541,1.825,27.1
18.416,-0.568,-1.404,27.1
83.726,-49.449,0.197,27.1
92.332,-25.88,3.175,27
72.018,-45.576,-0.31,27
-1.725,-6.038,-1.792,26.9
18.152,19.706,-2.611,26.9
48.636,-12.577,0.234,26.8
2.045,-3.897,-1.628,26.8
116.267,-47.91,1.121,26.8
80.599,0.506,3.225,26.8
53.045,-18.956,0.649,26.8
57.778,38.358,2.636,26.7
66.7,29.633,3.107,26.7
87.453,-37.164,2.221,26.7
88.628,-45.213,1.071,26.7
83.253,-55.029,-0.877,26.7
11.505,44.354,-2.812,26.6
11.389,32.707,-3.618,26.6
103.276,-10.593,4.747,26.6
68.8135,-44.08624,-0.423,26.6
67.517,-5.567,1.807,26.5
38.407,-0.325,-0.377,26.4
6.906,1.042,-1.807,26.4
42.482,56.913,2.194,26.4
49.375,-18.44,0.297,26.3
109.284,-15.642,4.317,26.3
19.044,45.801,-1.448,26.2
23.476,62.728,-1.348,26.2
23.525,-3.666,-1.079,26.2
19.87,-13.776,-1.284,26.2
78.874,-26.544,3.103,26.2
86.877,-24.998,3.419,26.2
-1.373,51.977,-5.684,26.2
43.932,-29.91,-0.906,26.1
11.943,11.284,-2.636,26
120.015,-53.673,0.602,26
41.663,-26.793,-0.946,26
101.404,-34.976,2.4,26
53.42,-35.492,-0.553,25.9
39.534,-7.108,-0.313,25.8
40.842,-16.412,-0.647,25.8
83.603,-41.453,1.454,25.8
119.415,-30.685,3.141,25.8
29.845,-16.349,-1.259,25.8
38.997,11.656,-0.545,25.8
79.208,-38.286,1.465,25.7
6.07,45.521,-4.027,25.7
88.101,-21.625,3.444,25.7
1.548,14.282,-3.682,25.7
28.748,38.461,-0.191,25.7
57.59,-28.674,0.706,25.6
24.427,0.398,-1.107,25.6
112.306,-65.652,-0.934,25.5
131.715,-20.732,3.979,25.5
103.644,-37.604,2.192,25.5
98.938,-15.76,4.035,25.4
98.793,-46.995,1.058,25.4
82.392,6.77,3.541,25.3
78.31,-41.661,0.857,25.3
2.21,24.566,-4.526,25.2
82.544,-40.493,1.465,25.2
49.077,-26.962,-0.117,25.2
84.561,-51.575,-0.0760000000000001,25.2
16.5,59.418,-2.204,25.2
96.165,-47.496,1.001,25.1
33.703,8.857,-0.868,25.1
24.689,38.012,-0.745,25.1
120.898,-37.574,2.729,25
117.388,-19.225,4.049,25
95.662,2.484,5.222,25
65.279,-38.725,0.0489999999999999,25
161.863,-19.198,4.721,24.9
128.823,-15.555,4.416,24.9
96.663,19.273,6.105,24.9
5.153,-6.209,-1.618,24.8
67.027,0.525,1.824,24.8
25.49,-10.808,-1.122,24.8
43.204,16.358,-0.153,24.7
107.158,-15.688,4.245,24.7
105.46,-34.58,2.479,24.7
21.675,3.348,-1.422,24.6
118.225,-21.069,3.87,24.5
18.602,52.368,-1.468,24.4
-7.524,80.892,-10.124,24.4
5.863,-1.911,-1.629,24.3
70.339,14.058,2.385,24.2
68.226,-10.901,2.018,24.1
93.168,-54.511,-0.0569999999999999,24.1
68.194,-41.436,-0.0940000000000001,24.1
31.108,37.438,0.0189999999999999,24.1
-4.239,4.639,-2.249,24
22.259,9.05,-1.795,24
-1.017,-4.021,-1.799,23.9
54.799,-17.084,0.873,23.9
90.915,11.09,5.023,23.9
104.563,-62.417,-0.603,23.8
20.305,52.914,-1.213,23.8
57.477,-21.405,1.279,23.8
17.57,33.841,-2.399,23.7
92.841,0.107,4.745,23.7
57.377,15.288,0.947,23.7
86.364,-41.404,1.627,23.7
104.546,19.48,7.089,23.6
94.944,7.526,5.4,23.6
120.894,-33.204,2.931,23.6
67.56,-21.968,2.301,23.5
7.103,14.904,-3.33,23.5
94.738,-40.256,1.759,23.5
47.218,-24.131,-0.189,23.4
108.362,-35.705,2.336,23.4
-2.912,73.813,-8.05,23.3
46.879,37.501,1.714,23.2
4.056,-3.106,-1.565,23.2
79.064,-19.986,3.533,23.2
14.127,14.897,-2.875,23.1
